unique_key;created_date;closed_date;descriptor_raw;descriptor_len;registro_escritura;complaint_type;descriptor;priority;agency;sla_dias;ubigeo;departamento;provincia;distrito;incident_address;latitude;longitude;reporter_name;reporter_email;reporter_phone;sector;open_data_channel_type;attachment_count;acepta_politica_privacidad;status;dias_resolucion;cumple_sla;dni;confianza;evidencia
PE311-2024-000011;20/02/2024 14:23;8/03/2024 01:23;URGENTE: buzon abierto sin tapa en Calle San Martin cuadra 1 Lima. Un nino se puede caer adentro. Por favor vengan rapido.;122;coloquial;VIA_PUBLICA;BUZON_SIN_TAPA;ALTA;MUNICIPALIDAD_DISTRITAL;15;150101;LIMA;LIMA;LIMA;Calle San Martin Cdra. 1;-12.064619;-77.049464;Luis Diaz Salazar;luis.diaz27@example.pe;958444911;CIUDADANO;WEB;0;1;CERRADO;16.46;0;4010;;Sin evidencia adjunta
PE311-2026-000012;16/04/2026 00:22;3/05/2026 13:22;El semaforo del cruce de Pasaje Los Olivos cuadra 7 en Lima no funciona hace 31 dias. Es un caos, ya casi chocan varias veces.;126;coloquial;TRANSPORTE_Y_TRANSITO;SEMAFORO_MALOGRADO;MEDIA;MUNICIPALIDAD_PROVINCIAL;10;150101;LIMA;LIMA;LIMA;Pasaje Los Olivos Cdra. 7;-12.044694;-77.036679;Ricardo Ccahuana Reyes;ricardo.ccahuana41@example.pe;942063689;INSTITUCION_PUBLICA;WEB;0;1;CERRADO;17.54;0;4011;;Sin evidencia adjunta
PE311-2025-000013;30/01/2025 07:05;19/02/2025 21:05;la senal de pare en Av. Wiese 14 La Victoria esta toda chancada, no se ve nada, los carros pasan de frente;106;informal;VIA_PUBLICA;SENALIZACION_DANADA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150117;LIMA;LIMA;LA VICTORIA;Av. Wiese Cdra. 14;-12.056906;-76.994715;Pedro Cordova Quispe;pedro.cordova88@example.pe;996654095;CIUDADANO;APP_MOVIL;0;1;CERRADO;20.58;0;4012;;Sin evidencia adjunta
PE311-2024-000014;14/10/2024 00:00;;Informo sobre un hundimiento progresivo de la calzada en Pasaje Los Olivos cuadra 1, Lima, presuntamente asociado a una filtracion subterranea. Solicito evaluacion tecnica.;172;formal;VIA_PUBLICA;HUNDIMIENTO_VIA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150101;LIMA;LIMA;LIMA;Pasaje Los Olivos Cdra. 1;-12.053729;-77.021504;Jorge Flores Ramos;jorge.flores77@example.pe;932466959;CIUDADANO;WEB;0;1;ASIGNADO;;;4013;;Sin evidencia adjunta
PE311-2024-000015;30/10/2024 06:47;10/12/2024 19:47;El area verde de Av. Tupac Amaru cuadra 2, Miraflores esta completamente seca. Hace semanas que no la riegan.;109;coloquial;AREAS_VERDES;RIEGO_DEFICIENTE;BAJA;MUNICIPALIDAD_DISTRITAL;20;150122;LIMA;LIMA;MIRAFLORES;Av. Tupac Amaru Cdra. 2;-12.116294;-77.023095;Milagros Quispe Diaz;milagros.quispe38@example.pe;927200339;INSTITUCION_PRIVADA;WEB;1;1;CERRADO;41.54;0;4014;;1 archivo(s) adjunto(s)
PE311-2026-000016;14/01/2026 21:17;;Todas las noches se juntan a tomar en la esquina de Av. Los Proceres cuadra 1, La Victoria. Dejan botellas rotas y gritan hasta la madrugada.;141;coloquial;SEGURIDAD_CIUDADANA;CONSUMO_VIA_PUBLICA;MEDIA;SERENAZGO;2;150117;LIMA;LIMA;LA VICTORIA;Av. Los Proceres Cdra. 1;-12.079135;-76.997684;Jorge Quispe Cordova;jorge.quispe60@example.pe;928967515;INSTITUCION_PUBLICA;TELEFONO;1;1;EN_PROCESO;;;4015;;1 archivo(s) adjunto(s)
PE311-2026-000017;8/06/2026 21:23;4/07/2026 04:23;Hay un arbol a punto de caerse en Av. Colonial cuadra 15, Trujillo. Con el viento se mueve muchisimo y esta encima de los cables.;129;coloquial;AREAS_VERDES;ARBOL_RIESGO_CAIDA;ALTA;MUNICIPALIDAD_DISTRITAL;20;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;Av. Colonial Cdra. 15;-8.12107;-79.037006;Pedro Huaman Ccahuana;pedro.huaman72@example.pe;918169537;CIUDADANO;WEB;1;1;CERRADO;25.29;0;4016;;1 archivo(s) adjunto(s)
PE311-2026-000018;9/05/2026 02:11;;Por medio de la presente comunico la existencia de un bache de considerable magnitud en la calzada de Av. Wiese a la altura de la cuadra 1, San Martin De Porres. El deterioro viene generando riesgo para los vehiculos que transitan por dicha via. Solicito se disponga la inspeccion y reparacion correspondiente.;310;formal;VIA_PUBLICA;BACHE_PISTA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150136;LIMA;LIMA;SAN MARTIN DE PORRES;Av. Wiese Cdra. 1;-11.995666;-77.077348;Diego Diaz Chavez;diego.diaz21@example.pe;918182303;CIUDADANO;APP_MOVIL;0;1;ASIGNADO;;;4017;;Sin evidencia adjunta
PE311-2025-000019;30/08/2025 04:26;1/09/2025 01:26;Todas las noches se juntan a tomar en la esquina de Calle Los Jazmines cuadra 4, Trujillo. Dejan botellas rotas y gritan hasta la madrugada. Gracias.;149;coloquial;SEGURIDAD_CIUDADANA;CONSUMO_VIA_PUBLICA;MEDIA;SERENAZGO;2;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;Calle Los Jazmines Cdra. 4;-8.13035;-79.026632;Gabriela Chavez Vargas;gabriela.chavez67@example.pe;924100953;INSTITUCION_PRIVADA;WEB;1;1;CERRADO;1.88;1;4018;;1 archivo(s) adjunto(s)
PE311-2024-000020;21/01/2024 15:35;;Hay materiales de construccion tirados en media pista de Jr. Ayacucho cuadra 9, Santiago De Surco. No se puede pasar, obligan a los carros a subir a la vereda.;159;coloquial;VIA_PUBLICA;OBSTRUCCION_VIA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150140;LIMA;LIMA;SANTIAGO DE SURCO;Jr. Ayacucho Cdra. 9;-12.156349;-76.988868;Carlos Cordova Alvarez;carlos.cordova73@example.pe;971099050;CIUDADANO;APP_MOVIL;2;1;EN_PROCESO;;;4019;;2 archivo(s) adjunto(s)
PE311-2025-000021;27/02/2025 07:59;5/03/2025 23:59;Comunico el arrojo de desmonte de construccion en la via publica, Jr. Ayacucho cuadra 9, Lima, presuntamente proveniente de una obra sin autorizacion.;150;formal;LIMPIEZA_PUBLICA;DESMONTE_VIA_PUBLICA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Jr. Ayacucho Cdra. 9;-12.064333;-77.036796;Pedro Diaz Rojas;pedro.diaz22@example.pe;997513799;CIUDADANO;TELEFONO;0;1;CERRADO;6.67;0;4020;;Sin evidencia adjunta
PE311-2025-000022;1/07/2025 22:17;;Comunico ruidos molestos que exceden los limites maximos permisibles provenientes de un inmueble en Av. Arequipa cuadra 15, Lima, en horario nocturno. Solicito fiscalizacion.;174;formal;CONTAMINACION_Y_RUIDO;RUIDO_NOCTURNO;MEDIA;MUNICIPALIDAD_DISTRITAL;10;150101;LIMA;LIMA;LIMA;Av. Arequipa Cdra. 15;-12.058498;-77.06464;Diego Ramos Alvarez;diego.ramos68@example.pe;944222366;INSTITUCION_PUBLICA;WEB;2;1;ASIGNADO;;;4021;;2 archivo(s) adjunto(s)
PE311-2024-000023;3/07/2024 05:32;;La vereda de Av. Los Proceres cuadra 18 en Lima esta toda rota y levantada. Mi mama casi se cae ayer. Necesitamos que la reparen.;129;coloquial;VIA_PUBLICA;VEREDA_DETERIORADA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150101;LIMA;LIMA;LIMA;Av. Los Proceres Cdra. 18;-12.027786;-77.060699;Juan Alvarez Reyes;juan.alvarez24@example.pe;913065350;CIUDADANO;WEB;2;1;EN_PROCESO;;;4022;;2 archivo(s) adjunto(s)
PE311-2024-000024;25/06/2024 23:20;13/07/2024 01:20;Comunico la existencia de un paradero informal en Jr. Cusco cuadra 25, Lima, que afecta el flujo vehicular y la seguridad peatonal.;131;formal;TRANSPORTE_Y_TRANSITO;PARADERO_INFORMAL;MEDIA;MUNICIPALIDAD_PROVINCIAL;10;150101;LIMA;LIMA;LIMA;Jr. Cusco Cdra. 25;-12.059378;-77.040203;Carlos Alvarez Reyes;carlos.alvarez55@example.pe;979066639;CIUDADANO;APP_MOVIL;0;1;CERRADO;17.08;0;4023;;Sin evidencia adjunta
PE311-2024-000025;16/01/2024 06:07;;Informo que el terreno baldio ubicado en Av. Tupac Amaru cuadra 17, San Juan De Lurigancho, se ha convertido en un punto critico de acumulacion de residuos. Solicito operativo de limpieza y colocacion de senalizacion preventiva.;228;formal;LIMPIEZA_PUBLICA;PUNTO_CRITICO_BASURA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Av. Tupac Amaru Cdra. 17;-11.992005;-77.011581;Jose Cordova Alvarez;jose.cordova49@example.pe;933564668;INSTITUCION_PRIVADA;TELEFONO;1;1;EN_PROCESO;;;4024;;1 archivo(s) adjunto(s)
PE311-2024-000026;4/02/2024 23:52;14/03/2024 06:52;Reporto pista rota en Av. Brasil altura cuadra 6, Lima. Cuando llueve se llena de agua y no se ve el hueco, es peligroso para las motos.;136;coloquial;VIA_PUBLICA;BACHE_PISTA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150101;LIMA;LIMA;LIMA;Av. Brasil Cdra. 6;-12.053337;-77.022907;Jose Reyes Mamani;jose.reyes12@example.pe;913749873;CIUDADANO;APP_MOVIL;0;1;CERRADO;38.29;0;4025;;Sin evidencia adjunta
PE311-2024-000027;2/12/2024 01:23;29/12/2024 07:23;Informo sobre un hundimiento progresivo de la calzada en Jr. Bolivar cuadra 4, Trujillo, presuntamente asociado a una filtracion subterranea. Solicito evaluacion tecnica.;170;formal;VIA_PUBLICA;HUNDIMIENTO_VIA;BAJA;MUNICIPALIDAD_DISTRITAL;15;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;Jr. Bolivar Cdra. 4;-8.113943;-79.037847;Gabriela Espinoza Ramos;gabriela.espinoza26@example.pe;983579602;CIUDADANO;WEB;0;1;CERRADO;27.25;0;4026;;Sin evidencia adjunta
PE311-2025-000028;21/07/2025 08:59;27/07/2025 12:59;Comunico la suspension no programada del servicio de agua potable en Av. Wiese cuadra 12, Cusco. Solicito informacion sobre el plazo de restitucion.;148;formal;AGUA_Y_SANEAMIENTO;CORTE_NO_PROGRAMADO;MEDIA;EPS_SANEAMIENTO;3;80101;CUSCO;CUSCO;CUSCO;Av. Wiese Cdra. 12;-13.543136;-71.976832;Jose Diaz Salazar;jose.diaz59@example.pe;931004753;CIUDADANO;TELEFONO;0;1;CERRADO;6.17;0;4027;;Sin evidencia adjunta
PE311-2025-000029;12/11/2025 09:00;17/11/2025 03:00;Comunico que la camara de videovigilancia instalada en Av. Grau cuadra 27, San Martin De Porres, se encontraria inoperativa. Solicito verificacion tecnica.;155;formal;SEGURIDAD_CIUDADANA;CAMARA_INOPERATIVA;MEDIA;SERENAZGO;2;150136;LIMA;LIMA;SAN MARTIN DE PORRES;Av. Grau Cdra. 27;-12.008464;-77.085055;Milagros Rojas Huaman;milagros.rojas98@example.pe;913468994;INSTITUCION_PUBLICA;WEB;0;1;CERRADO;4.75;0;4028;;Sin evidencia adjunta
PE311-2025-000030;22/08/2025 08:43;10/09/2025 20:43;Por medio de la presente comunico la existencia de un bache de considerable magnitud en la calzada de Av. Arequipa a la altura de la cuadra 27, Lima. El deterioro viene generando riesgo para los vehiculos que transitan por dicha via. Solicito se disponga la inspeccion y reparacion correspondiente.;298;formal;VIA_PUBLICA;BACHE_PISTA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150101;LIMA;LIMA;LIMA;Av. Arequipa Cdra. 27;-12.048326;-77.046777;Carlos Castillo Rojas;carlos.castillo63@example.pe;933749169;CIUDADANO;APP_MOVIL;0;1;CERRADO;19.5;0;4029;;Sin evidencia adjunta
PE311-2025-000031;27/04/2025 09:37;;Buenas tardes, reporto que las luminarias de la cuadra 5 de Calle Los Jazmines, Trujillo, no funcionan. Somos varios vecinos afectados.;135;coloquial;ALUMBRADO_PUBLICO;POSTE_APAGADO;MEDIA;CONCESIONARIA_ELECTRICA;7;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;Calle Los Jazmines Cdra. 5;-8.08717;-79.022748;Sofia Paredes Rojas;sofia.paredes90@example.pe;945249189;CIUDADANO;WEB;0;1;DERIVADO;;;4030;;Sin evidencia adjunta
PE311-2025-000032;1/09/2025 00:37;4/09/2025 11:37;Comunico la acumulacion de residuos solidos en la esquina de Av. Universitaria cuadra 19, Lima, la cual persiste hace 10 dias generando malos olores y proliferacion de roedores. Solicito el recojo correspondiente.;213;formal;LIMPIEZA_PUBLICA;ACUMULACION_RESIDUOS;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Av. Universitaria Cdra. 19;-12.045365;-77.02784;Miguel Espinoza Rojas;miguel.espinoza12@example.pe;928831091;INSTITUCION_PUBLICA;PRESENCIAL;0;1;CERRADO;3.46;1;4031;;Sin evidencia adjunta
PE311-2024-000033;25/02/2024 00:42;;musica a todo volumen Av. Grau 25 San Juan De Lurigancho todas las noches, imposible dormir, tengo hijos en colegio;115;informal;CONTAMINACION_Y_RUIDO;RUIDO_NOCTURNO;MEDIA;MUNICIPALIDAD_DISTRITAL;10;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Av. Grau Cdra. 25;-12.003625;-77.019456;Alonso Rojas Diaz;alonso.rojas76@example.pe;957112918;CIUDADANO;WEB;0;1;RECIBIDO;;;4032;;Sin evidencia adjunta
PE311-2025-000034;27/03/2025 00:57;;vereda destruida en Calle Tacna 22 Villa El Salvador imposible pasar con coche de bebe arreglenla porfa;103;informal;VIA_PUBLICA;VEREDA_DETERIORADA;BAJA;MUNICIPALIDAD_DISTRITAL;15;150142;LIMA;LIMA;VILLA EL SALVADOR;Calle Tacna Cdra. 22;-12.198314;-76.932778;Maria Torres Mamani;maria.torres75@example.pe;975563746;CIUDADANO;APP_MOVIL;0;1;EN_PROCESO;;;4033;;Sin evidencia adjunta
PE311-2026-000035;13/04/2026 21:08;;basura x todos lados en av. universitaria 28 trujillo, ya 3 dias sin q pase el camion, esto es un asco;102;informal;LIMPIEZA_PUBLICA;ACUMULACION_RESIDUOS;MEDIA;MUNICIPALIDAD_DISTRITAL;5;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;Av. Universitaria Cdra. 28;-8.104574;-79.01073;Lucia Castillo Paredes;lucia.castillo21@example.pe;999968434;CIUDADANO;APP_MOVIL;1;1;EN_PROCESO;;;4034;;1 archivo(s) adjunto(s)
PE311-2024-000036;9/01/2024 12:39;;Comunico el arrojo de desmonte de construccion en la via publica, Jr. Huancavelica cuadra 23, San Isidro, presuntamente proveniente de una obra sin autorizacion.;161;formal;LIMPIEZA_PUBLICA;DESMONTE_VIA_PUBLICA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150130;LIMA;LIMA;SAN ISIDRO;Jr. Huancavelica Cdra. 23;-12.111757;-77.045886;Jorge Flores Flores;jorge.flores49@example.pe;938477641;CIUDADANO;APP_MOVIL;0;1;EN_PROCESO;;;4035;;Sin evidencia adjunta
PE311-2025-000037;22/02/2025 07:48;;Hay un arbol a punto de caerse en Av. Colonial cuadra 7, Lima. Con el viento se mueve muchisimo y esta encima de los cables.;124;coloquial;AREAS_VERDES;ARBOL_RIESGO_CAIDA;ALTA;MUNICIPALIDAD_DISTRITAL;20;150101;LIMA;LIMA;LIMA;Av. Colonial Cdra. 7;-12.060675;-77.023707;Pedro Cordova Alvarez;pedro.cordova40@example.pe;963599978;CIUDADANO;WEB;1;1;DERIVADO;;;4036;;1 archivo(s) adjunto(s)
PE311-2026-000038;20/01/2026 09:24;;Comunico que la camara de videovigilancia instalada en Av. Canada cuadra 18, San Martin De Porres, se encontraria inoperativa. Solicito verificacion tecnica.;157;formal;SEGURIDAD_CIUDADANA;CAMARA_INOPERATIVA;MEDIA;SERENAZGO;2;150136;LIMA;LIMA;SAN MARTIN DE PORRES;Av. Canada Cdra. 18;-12.010685;-77.106217;Lucia Quispe Alvarez;lucia.quispe11@example.pe;927772230;CIUDADANO;WEB;2;1;EN_PROCESO;;;4037;;2 archivo(s) adjunto(s)
PE311-2026-000039;11/06/2026 00:57;18/06/2026 17:57;El camion de basura no pasa por Av. Brasil cuadra 22, Lima hace 20 dias. Los vecinos ya no sabemos donde poner las bolsas.;122;coloquial;LIMPIEZA_PUBLICA;CAMION_NO_PASA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Av. Brasil Cdra. 22;-12.06463;-77.021124;Jose Castillo Chavez;jose.castillo60@example.pe;951343951;CIUDADANO;APP_MOVIL;1;1;CERRADO;7.71;0;4038;;1 archivo(s) adjunto(s)
PE311-2025-000040;7/11/2025 07:30;;El camion de basura no pasa por Jr. Amazonas cuadra 8, San Martin De Porres hace 43 dias. Los vecinos ya no sabemos donde poner las bolsas.;139;coloquial;LIMPIEZA_PUBLICA;CAMION_NO_PASA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150136;LIMA;LIMA;SAN MARTIN DE PORRES;Jr. Amazonas Cdra. 8;-11.989132;-77.082765;Ricardo Ramos Alvarez;ricardo.ramos35@example.pe;915429686;CIUDADANO;PRESENCIAL;0;1;RECIBIDO;;;4039;;Sin evidencia adjunta
PE311-2024-000041;4/07/2024 14:15;18/07/2024 08:15;El camion de basura no pasa por Calle Tacna cuadra 2, Lima hace 26 dias. Los vecinos ya no sabemos donde poner las bolsas.;122;coloquial;LIMPIEZA_PUBLICA;CAMION_NO_PASA;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Calle Tacna Cdra. 2;-12.038702;-77.064729;Ricardo Castillo Mamani;ricardo.castillo35@example.pe;946445605;INSTITUCION_PRIVADA;WEB;2;1;CERRADO;13.75;0;4040;;2 archivo(s) adjunto(s)
PE311-2025-000042;4/07/2025 03:23;;Comunico el funcionamiento de un local que expende bebidas alcoholicas sin licencia en Calle San Martin cuadra 4, Callao, en horario no autorizado.;147;formal;SEGURIDAD_CIUDADANA;LOCAL_CLANDESTINO;MEDIA;SERENAZGO;2;70101;CALLAO;CALLAO;CALLAO;Calle San Martin Cdra. 4;-12.055229;-77.112909;Milagros Reyes Huaman;milagros.reyes91@example.pe;983889979;CIUDADANO;WEB;1;1;EN_PROCESO;;;4041;;1 archivo(s) adjunto(s)
PE311-2026-000043;24/01/2026 23:09;;Comunico que el arbol ubicado en Av. El Sol cuadra 12, San Isidro, presenta inclinacion y raices expuestas, con riesgo de caida sobre la via publica. Solicito evaluacion.;170;formal;AREAS_VERDES;ARBOL_RIESGO_CAIDA;ALTA;MUNICIPALIDAD_DISTRITAL;20;150130;LIMA;LIMA;SAN ISIDRO;Av. El Sol Cdra. 12;-12.076095;-77.023515;Ricardo Huaman Espinoza;ricardo.huaman77@example.pe;960367587;INSTITUCION_PRIVADA;PRESENCIAL;1;1;EN_PROCESO;;;4042;;1 archivo(s) adjunto(s)
PE311-2026-000044;7/02/2026 04:37;11/02/2026 01:37;Comunico la acumulacion de residuos solidos en la esquina de Jr. Junin cuadra 28, Lima, la cual persiste hace 18 dias generando malos olores y proliferacion de roedores. Solicito el recojo correspondiente.;205;formal;LIMPIEZA_PUBLICA;ACUMULACION_RESIDUOS;MEDIA;MUNICIPALIDAD_DISTRITAL;5;150101;LIMA;LIMA;LIMA;Jr. Junin Cdra. 28;-12.057693;-77.052312;Luis Quispe Flores;luis.quispe38@example.pe;919754830;INSTITUCION_PRIVADA;APP_MOVIL;0;1;CERRADO;3.88;1;4043;;Sin evidencia adjunta
PE311-2024-000045;17/02/2024 23:05;3/03/2024 15:05;Comunico que el poste de alumbrado publico ubicado en Av. Universitaria cuadra 14, Lima, no enciende desde hace aproximadamente 19 dias, generando una zona oscura que incrementa la percepcion de inseguridad.;207;formal;ALUMBRADO_PUBLICO;POSTE_APAGADO;MEDIA;CONCESIONARIA_ELECTRICA;7;150101;LIMA;LIMA;LIMA;Av. Universitaria Cdra. 14;-12.067855;-77.036267;Maria Diaz Vargas;maria.diaz59@example.pe;934073978;CIUDADANO;WEB;0;1;CERRADO;14.67;0;4044;;Sin evidencia adjunta
PE311-2025-000046;7/04/2025 06:50;;Informo el atoro del sistema de desague en Pasaje Los Olivos cuadra 11, San Miguel, con afloramiento de aguas servidas en la via publica. Existe riesgo sanitario.;162;formal;AGUA_Y_SANEAMIENTO;DESAGUE_ATORADO;ALTA;EPS_SANEAMIENTO;3;150137;LIMA;LIMA;SAN MIGUEL;Pasaje Los Olivos Cdra. 11;-12.088073;-77.099495;Maria Chavez Salazar;maria.chavez36@example.pe;951150455;INSTITUCION_PRIVADA;WEB;1;1;EN_PROCESO;;;4045;;1 archivo(s) adjunto(s)
PE311-2025-000047;12/04/2025 14:59;2/05/2025 20:59;Comunico que el semaforo ubicado en la interseccion de Av. El Sol cuadra 1, San Juan De Lurigancho, se encuentra inoperativo, generando congestion y riesgo de accidentes.;170;formal;TRANSPORTE_Y_TRANSITO;SEMAFORO_MALOGRADO;MEDIA;MUNICIPALIDAD_PROVINCIAL;10;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Av. El Sol Cdra. 1;-11.989535;-77.016926;Diego Ramos Castillo;diego.ramos63@example.pe;923275493;INSTITUCION_PUBLICA;WEB;0;1;CERRADO;20.25;0;4046;;Sin evidencia adjunta
